k,f1
1,0.6810434238428832
2,0.6519426393939348
3,0.7012465780211984
4,0.6990416944779316
5,0.6984087264651222
6,0.6973470954667961
7,0.6947745588416533
8,0.696465361433451
9,0.6955105613730199
10,0.696451067765041
11,0.6963534962469111
12,0.695995257891595
13,0.6949419543309174
14,0.6954173722733303
15,0.6933271779538226
16,0.6924279901525534
17,0.6911691190650078
18,0.6925011461203461
19,0.6895591281763461
20,0.6892101838929319
21,0.6870101366636371
22,0.6872446213987577
23,0.6832353954037411
24,0.6839503999470269
25,0.6816046819364204
26,0.6816369867250605
27,0.6798969918361132
28,0.679889665125423
29,0.6809399663601645
30,0.6784549675869377
